Service,Provider,Category,GPU / Compute,VRAM,Free Tier Type,Max GPU Hours / Credits,Authentication,Credit Card Required,Docker Support,API Available,Region,Signup Link,Source URL,Notes
Hugging Face Spaces ZeroGPU,Hugging Face,ML platform,NVIDIA H200 via dynamic allocation; xlarge profile exposes a full H200,141 GB per full H200 xlarge profile (shared ZeroGPU infrastructure),Free tier,Daily quota / queue based; PRO users get higher daily quota and priority,Email / GitHub / SSO,No,Yes,Yes,Global,https://huggingface.co/spaces,https://huggingface.co/docs/hub/en/spaces-zerogpu,Best for demos and lightweight experimentation.
Kaggle Notebooks,Kaggle / Google,Notebook,P100/T4/TPU,15 GB (T4) / 16 GB (P100),Free tier,30 hours per week,Google account,No,Yes,Yes,Global,https://www.kaggle.com/code,https://www.kaggle.com/product-feedback/242497,Strong for ML notebooks and competitions.
Amazon SageMaker Studio Lab,AWS,Notebook,T4 + CPU,16 GB,Free tier,4 hours per session (4 hour limit per 24 hours),Email,No,Yes,Yes,Global,https://studiolab.sagemaker.aws/,https://docs.aws.amazon.com/en_us/sagemaker/latest/dg/studio-lab-overview.html,Persistent JupyterLab environment.
Lightning AI Studio,Lightning AI,ML platform,"Single GPU Studios: T4 / L4 / L40S / RTX PRO 6000 / A100 40GB / A100 80GB / H100 / H200","16 GB (T4), 24 GB (L4), 48 GB (L40S), 96 GB (RTX PRO 6000), 40-80 GB (A100), 80 GB (H100), 141 GB (H200)",Free tier,"80 GPU hours/month via 15 monthly credits; approx free monthly hours: T4 75h, L4 31h, L40S 5h, RTX PRO 6000 2h, A100 40GB 10h, A100 80GB 5h, H100 5h, H200 3h",Email / GitHub / Google,No,Yes,Yes,Global,https://lightning.ai/,https://lightning.ai/pricing/,"Cloud IDE for ML workloads. Free plan includes 1 active Studio with 4-hour restarts, no credit card, and up to 2 concurrent GPUs."
Google Colab,Google,Notebook,T4/K80/A100/TPU,16-40 GB,Free tier,Dynamic; typically session-limited,Google account,No,Yes,Yes,Global,https://colab.research.google.com,https://research.google.com/colaboratory/faq.html,Free browser notebooks; limits vary by usage patterns.
Google Cloud Free Trial,Google Cloud,Cloud trial,T4/V100/A100/H100 (quota dependent),16-80 GB,Credits ($300),$300 Welcome credit over 91 days; GPU access depends on spend and granted quota,Google account,Yes,Yes,Yes,Global,https://cloud.google.com/free,https://docs.cloud.google.com/free/docs/free-cloud-features,Payment method required for free trial; GPU quota can be limited during trial.
Modal Starter,Modal,Serverless GPU,T4 / L4 / A10 / L40S / RTX PRO 6000 / A100 40GB / A100 80GB / H100 / H200 / B200,16-192 GB by GPU,Credits,$30/month free compute credits on Starter; 10 GPU concurrency,GitHub / Google / SSO,Depends,Yes,Yes,Global,https://modal.com/,https://modal.com/pricing,Strong for automation and APIs; Team includes $100/month credits and Modal lists startup and academic credit grants.
Saturn Cloud,Saturn Cloud,ML platform,T4 and higher on paid tiers,16+ GB,Free tier,Limited / plan dependent,GitHub / email,No,Yes,Yes,Global,https://saturncloud.io/,https://saturncloud.io/,Data science platform with occasional free notebook options.
AMD Developer Cloud,AMD,Research / developer credits,MI300X,192 GB HBM3,Complimentary credits / pay-as-you-go,"Initial 25 cloud credit hours (~$50) for qualified developers; expires 10 days after deposit",Application,Yes,Yes,Yes,US / India / Global program,https://www.amd.com/en/developer/resources/cloud-access.html,https://www.amd.com/en/developer/resources/cloud-access.html,Complimentary AMD cloud credit applies only to AMD Instinct MI300X GPUs and requires a valid credit card.
Scaleway AI,Scaleway,Cloud GPU,L4 / H100 / others by region,24-80 GB,Promotional / startup dependent,Program-dependent,Email,Yes,Yes,Yes,EU,https://www.scaleway.com/en/gpu-instances/,https://www.scaleway.com/en/gpu-instances/,EU-focused provider; often relevant for data residency.
Vast.ai,Vast.ai,GPU marketplace,Wide GPU marketplace incl. RTX 4090 / A100 / H100,24-80 GB,No true free tier,Pay-as-you-go,Email,No,Yes,Yes,Global,https://vast.ai/,https://vast.ai/,"Included because it is a major global low-cost comparator, even if not free-tier."
CINECA ISCRA (Class C),CINECA,HPC grant,LEONARDO Booster GPUs + HPC,A100 40 GB nodes in Leonardo Booster,Grant,"Up to 10,000 GPU hours / project class C",Research proposal,No,Yes,Cluster APIs,EU / Italy,https://www.hpc.cineca.it/hpc-access/access-cineca-resources/iscra-projects/,https://www.hpc.cineca.it/hpc-access/access-cineca-resources/iscra-projects/iscra-project-size/,Italian national HPC access path.
Oracle OCI Always Free,Oracle,Always free cloud,Arm/AMD VM + limited services,N/A,Always free,Monthly always-free allowances,Email + phone,Yes,Yes,Yes,Global,https://www.oracle.com/cloud/free/,https://docs.oracle.com/iaas/Content/FreeTier/freetier_topic-Always_Free_Resources.htm,Always-free compute is CPU-focused; GPU generally not always free.
AWS Free Tier,AWS,Cloud trial / always free,Primarily CPU services; GPU not included as always free,N/A,Free tier,Service-dependent,AWS account,Yes,Yes,Yes,Global,https://aws.amazon.com/free/,https://aws.amazon.com/free/complete-signup/,"Useful for infra around ML, but not a true free GPU tier."
GitHub Student Developer Pack,GitHub,Education bundle,Partner credits/offers,N/A,Bundle of offers,Offer-dependent,GitHub Student verification,Depends,Varies,Varies,Global,https://education.github.com/pack,https://education.github.com/pack,"Aggregates third-party student offers, including cloud credits."
DigitalOcean GitHub Students,DigitalOcean,Education credits,DigitalOcean credits for cloud products; GPU Droplet access is account-dependent,Varies,Program credits,$200 credit valid for 1 year for verified GitHub students,GitHub Student verification,Yes,Yes,Yes,Global,https://www.digitalocean.com/github-students,https://www.digitalocean.com/github-students,Requires DigitalOcean signup with valid credit card or PayPal before student credit is applied.
AWS Educate,AWS,Education program,Labs / selected AWS services,N/A,Program access,Program-capped,Email / education verification,No,Yes,Yes,Global,https://aws.amazon.com/education/awseducate/,https://aws.amazon.com/education/awseducate/,No-card learning access for eligible users.
